=== CPU Statistics Log ===
Started: 2025-11-20 00:20:31 (UTC Time)
========================================

[2025-11-20 01:08:31] Global CPU Usage: 10.10% | Cores: 8 | Per-core: [CPU0: 9.52%, CPU1: 0.00%, CPU2: 10.00%, CPU3: 26.32%, CPU4: 10.00%, CPU5: 10.00%, CPU6: 15.00%, CPU7: 0.00%]
[2025-11-20 01:10:31] Global CPU Usage: 12.58% | Cores: 8 | Per-core: [CPU0: 15.79%, CPU1: 5.00%, CPU2: 20.00%, CPU3: 15.00%, CPU4: 14.29%, CPU5: 10.00%, CPU6: 10.00%, CPU7: 10.53%]
[2025-11-20 01:12:31] Global CPU Usage: 3.04% | Cores: 8 | Per-core: [CPU0: 0.00%, CPU1: 4.76%, CPU2: 10.00%, CPU3: 4.76%, CPU4: 4.76%, CPU5: 0.00%, CPU6: 0.00%, CPU7: 0.00%]
[2025-11-20 01:14:31] Global CPU Usage: 68.94% | Cores: 8 | Per-core: [CPU0: 78.95%, CPU1: 68.42%, CPU2: 84.21%, CPU3: 63.16%, CPU4: 63.64%, CPU5: 70.00%, CPU6: 63.16%, CPU7: 60.00%]
[2025-11-20 01:16:31] Global CPU Usage: 8.70% | Cores: 8 | Per-core: [CPU0: 5.00%, CPU1: 9.52%, CPU2: 9.52%, CPU3: 10.00%, CPU4: 10.00%, CPU5: 10.53%, CPU6: 5.00%, CPU7: 10.00%]
[2025-11-20 01:18:31] Global CPU Usage: 5.54% | Cores: 8 | Per-core: [CPU0: 10.00%, CPU1: 10.00%, CPU2: 4.76%, CPU3: 9.52%, CPU4: 0.00%, CPU5: 0.00%, CPU6: 5.00%, CPU7: 5.00%]
[2025-11-20 01:20:31] Global CPU Usage: 21.84% | Cores: 8 | Per-core: [CPU0: 23.81%, CPU1: 35.00%, CPU2: 20.00%, CPU3: 20.00%, CPU4: 19.05%, CPU5: 11.11%, CPU6: 15.79%, CPU7: 30.00%]
[2025-11-20 01:22:31] Global CPU Usage: 2.47% | Cores: 8 | Per-core: [CPU0: 0.00%, CPU1: 0.00%, CPU2: 4.76%, CPU3: 0.00%, CPU4: 0.00%, CPU5: 5.00%, CPU6: 5.00%, CPU7: 5.00%]
[2025-11-20 01:24:31] Global CPU Usage: 3.72% | Cores: 8 | Per-core: [CPU0: 0.00%, CPU1: 5.00%, CPU2: 10.00%, CPU3: 5.00%, CPU4: 0.00%, CPU5: 0.00%, CPU6: 4.76%, CPU7: 5.00%]
[2025-11-20 01:26:31] Global CPU Usage: 30.43% | Cores: 8 | Per-core: [CPU0: 25.00%, CPU1: 35.00%, CPU2: 25.00%, CPU3: 35.00%, CPU4: 47.37%, CPU5: 25.00%, CPU6: 21.05%, CPU7: 30.00%]
[2025-11-20 01:28:31] Global CPU Usage: 31.96% | Cores: 8 | Per-core: [CPU0: 28.57%, CPU1: 31.58%, CPU2: 36.84%, CPU3: 31.58%, CPU4: 31.58%, CPU5: 22.22%, CPU6: 40.00%, CPU7: 33.33%]
[2025-11-20 01:30:31] Global CPU Usage: 5.04% | Cores: 8 | Per-core: [CPU0: 4.76%, CPU1: 10.53%, CPU2: 5.00%, CPU3: 5.00%, CPU4: 5.00%, CPU5: 0.00%, CPU6: 10.00%, CPU7: 0.00%]
[2025-11-20 01:32:31] Global CPU Usage: 56.06% | Cores: 8 | Per-core: [CPU0: 47.37%, CPU1: 52.38%, CPU2: 57.89%, CPU3: 63.16%, CPU4: 60.00%, CPU5: 57.89%, CPU6: 57.14%, CPU7: 52.63%]
[2025-11-20 01:34:31] Global CPU Usage: 9.65% | Cores: 8 | Per-core: [CPU0: 10.00%, CPU1: 0.00%, CPU2: 5.00%, CPU3: 5.00%, CPU4: 13.64%, CPU5: 14.29%, CPU6: 14.29%, CPU7: 15.00%]
[2025-11-20 01:36:31] Global CPU Usage: 28.57% | Cores: 8 | Per-core: [CPU0: 31.58%, CPU1: 30.00%, CPU2: 30.00%, CPU3: 30.00%, CPU4: 21.05%, CPU5: 15.79%, CPU6: 36.84%, CPU7: 33.33%]
[2025-11-20 01:38:31] Global CPU Usage: 1.85% | Cores: 8 | Per-core: [CPU0: 0.00%, CPU1: 0.00%, CPU2: 0.00%, CPU3: 5.00%, CPU4: 4.76%, CPU5: 0.00%, CPU6: 0.00%, CPU7: 5.00%]
[2025-11-20 01:40:31] Global CPU Usage: 8.01% | Cores: 8 | Per-core: [CPU0: 0.00%, CPU1: 5.26%, CPU2: 9.52%, CPU3: 15.00%, CPU4: 5.26%, CPU5: 10.00%, CPU6: 9.52%, CPU7: 9.52%]
[2025-11-20 01:42:31] Global CPU Usage: 19.26% | Cores: 8 | Per-core: [CPU0: 14.29%, CPU1: 23.81%, CPU2: 14.29%, CPU3: 10.00%, CPU4: 10.00%, CPU5: 14.29%, CPU6: 15.00%, CPU7: 52.38%]
[2025-11-20 01:44:31] Global CPU Usage: 16.08% | Cores: 8 | Per-core: [CPU0: 19.05%, CPU1: 10.53%, CPU2: 25.00%, CPU3: 26.32%, CPU4: 10.53%, CPU5: 15.00%, CPU6: 11.11%, CPU7: 11.11%]
